*	*	2534057	1.0	
dai62779	ele17451	902	0.00035595095138	
fro40251	gro85051	859	0.000338982114451	
fro40251	sna80324	846	0.000333852000961	
dai62779	gro73461	844	0.000333062752732	
dai62779	ele92920	789	0.000311358426428	
dai75645	fro40251	729	0.000287680979552	
dai62779	ele17451	690	0.000272290639082	
dai75645	sna80324	663	0.000261635787987	
dai62779	fro40251	658	0.000259662667414	
dai62779	dai85309	614	0.000242299206371	
dai62779	sna80324	598	0.000235985220538	
dai85309	ele99737	594	0.000234406724079	
fro40251	gro73461	569	0.000224541121214	
fro40251	sna80324	566	0.00022335724887	
dai62779	dai75645	560	0.000220989504182	
ele32164	gro59710	541	0.000213491646005	
dai75645	fro40251	525	0.000207177660171	
dai75645	gro73461	504	0.000198890553764	
dai75645	sna80324	467	0.000184289461524	
dai62779	sna55762	463	0.000182710965065	
ele17451	fro40251	453	0.000178764723919	
dai62779	fro19221	449	0.000177186227461	
ele17451	sna80324	428	0.000168899121054	
dai62779	ele32164	426	0.000168109872824	
fro40251	fro92469	426	0.000168109872824	
gro73461	sna80324	424	0.000167320624595	
dai62779	fro40251	412	0.00016258513522	
ele17451	gro73461	409	0.000161401262876	
fro40251	fro92469	409	0.000161401262876	
dai62779	ele32164	406	0.000160217390532	
dai62779	sna18336	394	0.000155481901157	
dai62779	sna45677	392	0.000154692652928	
dai62779	gro30386	389	0.000153508780584	
dai62779	ele26917	371	0.000146405546521	
dai75645	ele17451	370	0.000146010922406	
ele32164	gro59710	370	0.000146010922406	
ele92920	sna18336	369	0.000145616298292	
dai62779	dai83733	363	0.000143248553604	
dai62779	gro71621	357	0.000140880808916	
dai43223	ele32164	356	0.000140486184802	
dai43223	ele32164	355	0.000140091560687	
fro40251	gro85051	354	0.000139696936572	
fro92469	sna80324	352	0.000138907688343	
fro85978	sna95666	346	0.000136539943656	
ele17451	ele92920	344	0.000135750695426	
gro85051	sna80324	339	0.000133777574853	
gro21487	gro73461	335	0.000132199078395	
gro46854	gro73461	328	0.000129436709593	
dai62779	fro80039	327	0.000129042085478	
dai55148	dai62779	325	0.000128252837249	
dai62779	sna80324	325	0.000128252837249	
dai62779	dai75645	322	0.000127068964905	
dai62779	gro30386	320	0.000126279716676	
dai62779	ele99737	315	0.000124306596103	
dai62779	gro46854	314	0.000123911971988	
fro40251	gro73461	313	0.000123517347873	
dai85309	gro46854	307	0.000121149603186	
gro38814	gro73461	306	0.000120754979071	
dai62779	dai85309	304	0.000119965730842	
ele17451	ele32164	304	0.000119965730842	
dai62779	sna93860	302	0.000119176482613	
dai62779	gro94758	298	0.000117597986154	
gro21487	gro73461	296	0.000116808737925	
dai62779	gro73461	295	0.00011641411381	
dai62779	gro59710	294	0.000116019489696	
dai85309	gro73461	292	0.000115230241467	
dai85309	ele17451	289	0.000114046369123	
dai62779	sna96271	286	0.000112862496779	
dai62779	fro78087	282	0.00011128400032	
dai62779	ele26917	279	0.000110100127977	
dai62779	dai63921	275	0.000108521631518	
dai43223	dai62779	270	0.000106548510945	
dai62779	sna99873	269	0.00010615388683	
dai62779	gro59710	267	0.000105364638601	
dai62779	gro85051	267	0.000105364638601	
dai43223	gro59710	266	0.000104970014487	
dai62779	ele59935	265	0.000104575390372	
dai75645	gro85051	262	0.000103391518028	
ele20847	fro40251	260	0.000102602269799	
dai62779	gro38814	259	0.000102207645684	
dai62779	gro21487	258	0.00010181302157	
dai42083	dai92600	256	0.000101023773341	
dai92600	gro73461	254	0.000100234525111	
gro30386	gro73461	254	0.000100234525111	
dai22177	dai62779	253	9.98399009967e-05	
dai62779	fro85978	253	9.98399009967e-05	
dai88079	fro40251	253	9.98399009967e-05	
ele14480	sna62128	253	9.98399009967e-05	
fro73056	gro44993	253	9.98399009967e-05	
ele17451	gro59710	252	9.94452768821e-05	
dai62779	ele74009	250	9.86560286529e-05	
fro85978	gro73461	249	9.82614045383e-05	
dai23334	dai62779	247	9.7472156309e-05	
ele17451	gro30386	247	9.7472156309e-05	
ele32164	gro73461	247	9.7472156309e-05	
dai43223	gro59710	246	9.70775321944e-05	
ele17451	fro40251	244	9.62882839652e-05	
dai31081	dai62779	242	9.5499035736e-05	
dai62779	fro66272	241	9.51044116214e-05	
ele32164	gro73461	239	9.43151633921e-05	
dai62779	gro71621	238	9.39205392775e-05	
ele17451	fro80039	238	9.39205392775e-05	
dai62779	gro15017	237	9.35259151629e-05	
dai22896	gro73461	235	9.27366669337e-05	
dai62779	sna93860	235	9.27366669337e-05	
gro71621	gro73461	235	9.27366669337e-05	
dai62779	ele59028	234	9.23420428191e-05	
gro73461	sna45677	234	9.23420428191e-05	
ele74482	fro31317	232	9.15527945899e-05	
dai85309	sna45677	230	9.07635463606e-05	
fro31317	gro73461	230	9.07635463606e-05	
ele20847	sna80324	227	8.95796740168e-05	
dai62779	dai87448	226	8.91850499022e-05	
ele91337	sna45677	226	8.91850499022e-05	
fro53271	gro21487	224	8.8395801673e-05	
dai62779	dai83733	223	8.80011775584e-05	
dai62779	fro80039	223	8.80011775584e-05	
ele26917	fro40251	222	8.76065534437e-05	
gro56726	gro73461	222	8.76065534437e-05	
gro73461	sna99873	222	8.76065534437e-05	
dai62779	sna90094	221	8.72119293291e-05	
ele17451	gro30386	221	8.72119293291e-05	
fro40251	gro21487	219	8.64226810999e-05	
fro85978	sna45677	219	8.64226810999e-05	
ele53126	fro31317	218	8.60280569853e-05	
dai87448	gro73461	217	8.56334328707e-05	
gro15017	gro73461	217	8.56334328707e-05	
dai62779	ele66600	216	8.52388087561e-05	
ele17451	sna18336	215	8.48441846415e-05	
ele74009	gro73461	214	8.44495605269e-05	
dai62779	gro21487	213	8.40549364122e-05	
fro40251	gro38814	213	8.40549364122e-05	
dai62779	gro81087	212	8.36603122976e-05	
dai62779	sna45677	212	8.36603122976e-05	
fro31317	gro56726	212	8.36603122976e-05	
dai62779	dai91290	211	8.3265688183e-05	
dai62779	fro31317	211	8.3265688183e-05	
dai62779	sna53220	211	8.3265688183e-05	
dai88807	gro73461	210	8.28710640684e-05	
dai55148	sna80324	208	8.20818158392e-05	
dai75645	gro73461	208	8.20818158392e-05	
gro73461	sna72163	208	8.20818158392e-05	
sna53220	sna93860	208	8.20818158392e-05	
ele17451	ele32164	207	8.16871917246e-05	
dai88807	sna72163	206	8.129256761e-05	
dai55148	fro40251	204	8.05033193807e-05	
dai92600	ele17451	204	8.05033193807e-05	
ele32164	ele92920	204	8.05033193807e-05	
dai42493	dai62779	203	8.01086952661e-05	
dai42493	ele32164	201	7.93194470369e-05	
dai55148	dai62779	201	7.93194470369e-05	
dai62779	fro78087	200	7.89248229223e-05	
fro40251	gro71621	200	7.89248229223e-05	
ele66600	fro78087	199	7.85301988077e-05	
ele74482	sna99873	199	7.85301988077e-05	
dai42493	gro59710	198	7.81355746931e-05	
dai62779	sna59903	198	7.81355746931e-05	
fro40251	sna45677	198	7.81355746931e-05	
dai83733	ele17451	197	7.77409505785e-05	
dai62779	ele21353	194	7.65570782346e-05	
dai31081	fro40251	193	7.616245412e-05	
dai85309	ele17451	193	7.616245412e-05	
dai88079	fro40251	193	7.616245412e-05	
ele17451	sna45677	193	7.616245412e-05	
dai85309	gro71621	192	7.57678300054e-05	
dai35347	ele66810	191	7.53732058908e-05	
dai55148	dai75645	191	7.53732058908e-05	
dai62779	sna24799	191	7.53732058908e-05	
dai62779	gro61133	190	7.49785817762e-05	
dai75645	ele20847	190	7.49785817762e-05	
dai85309	fro40251	190	7.49785817762e-05	
gro46854	gro56726	190	7.49785817762e-05	
gro61133	gro73461	190	7.49785817762e-05	
dai43223	dai62779	189	7.45839576616e-05	
ele17451	sna59903	189	7.45839576616e-05	
dai62779	ele20847	188	7.4189333547e-05	
dai88807	sna72163	188	7.4189333547e-05	
dai62779	sna90094	187	7.37947094323e-05	
ele17451	sna55762	187	7.37947094323e-05	
gro94758	sna45677	187	7.37947094323e-05	
dai62779	gro56726	186	7.34000853177e-05	
dai88807	ele17451	186	7.34000853177e-05	
fro40251	fro53271	186	7.34000853177e-05	
gro73461	sna96271	186	7.34000853177e-05	
dai42083	ele17451	185	7.30054612031e-05	
fro73056	gro44993	185	7.30054612031e-05	
dai62779	gro81087	184	7.26108370885e-05	
ele17451	ele26917	184	7.26108370885e-05	
fro19221	gro73461	184	7.26108370885e-05	
fro85978	gro46854	184	7.26108370885e-05	
dai62779	sna38068	183	7.22162129739e-05	
dai85309	sna55762	183	7.22162129739e-05	
ele20847	sna80324	183	7.22162129739e-05	
dai22896	dai62779	182	7.18215888593e-05	
dai62779	ele74009	182	7.18215888593e-05	
ele17451	fro31317	182	7.18215888593e-05	
dai62779	fro85978	181	7.14269647447e-05	
dai62779	gro94758	181	7.14269647447e-05	
gro69543	gro73461	181	7.14269647447e-05	
dai62779	ele56788	180	7.10323406301e-05	
dai31081	gro73461	179	7.06377165155e-05	
dai43223	ele17451	179	7.06377165155e-05	
ele26917	gro73461	179	7.06377165155e-05	
dai88807	sna59903	178	7.02430924008e-05	
ele32164	ele62598	178	7.02430924008e-05	
fro40251	gro94758	178	7.02430924008e-05	
dai62779	dai92600	177	6.98484682862e-05	
dai75645	ele17451	177	6.98484682862e-05	
ele17451	fro31317	177	6.98484682862e-05	
ele17451	gro71621	177	6.98484682862e-05	
dai62779	gro88324	176	6.94538441716e-05	
dai62779	ele12792	175	6.9059220057e-05	
dai62779	ele56788	175	6.9059220057e-05	
ele92920	fro40251	175	6.9059220057e-05	
ele20847	fro40251	174	6.86645959424e-05	
gro59710	gro73461	174	6.86645959424e-05	
dai35347	fro31317	173	6.82699718278e-05	
fro40251	sna55762	172	6.78753477132e-05	
dai55148	ele17451	171	6.74807235986e-05	
dai63921	fro85978	171	6.74807235986e-05	
ele17451	gro73461	171	6.74807235986e-05	
ele88583	sna24799	171	6.74807235986e-05	
sna45677	sna96271	171	6.74807235986e-05	
dai22177	gro73461	170	6.7086099484e-05	
dai48891	dai62779	170	6.7086099484e-05	
dai62779	fro16142	170	6.7086099484e-05	
dai62779	fro32293	170	6.7086099484e-05	
dai75645	gro38814	170	6.7086099484e-05	
ele17451	gro85051	170	6.7086099484e-05	
fro85978	sna99873	170	6.7086099484e-05	
gro71621	sna80324	170	6.7086099484e-05	
dai62779	ele91337	169	6.66914753693e-05	
ele17451	sna80324	169	6.66914753693e-05	
ele17451	sna99873	169	6.66914753693e-05	
ele37770	ele74482	169	6.66914753693e-05	
gro44993	gro73461	169	6.66914753693e-05	
dai85309	fro85978	168	6.62968512547e-05	
gro73461	gro81647	168	6.62968512547e-05	
gro94758	sna80324	168	6.62968512547e-05	
dai75645	sna55762	167	6.59022271401e-05	
dai85309	ele92920	167	6.59022271401e-05	
ele32164	fro53271	167	6.59022271401e-05	
dai63921	dai85309	166	6.55076030255e-05	
dai75645	fro47962	166	6.55076030255e-05	
dai85309	gro56726	166	6.55076030255e-05	
dai85309	sna99873	166	6.55076030255e-05	
ele78169	gro94758	166	6.55076030255e-05	
gro73461	sna55762	166	6.55076030255e-05	
sna59903	sna72163	166	6.55076030255e-05	
dai62779	fro31317	165	6.51129789109e-05	
fro31317	gro73461	165	6.51129789109e-05	
sna45677	sna80324	165	6.51129789109e-05	
dai31081	ele32164	164	6.47183547963e-05	
gro73461	gro81647	164	6.47183547963e-05	
dai55911	fro40251	162	6.39291065671e-05	
ele17451	sna59903	162	6.39291065671e-05	
dai85309	fro19221	161	6.35344824524e-05	
dai88088	ele38289	161	6.35344824524e-05	
ele17451	gro94758	161	6.35344824524e-05	
fro73056	gro73461	161	6.35344824524e-05	
fro85978	sna93860	161	6.35344824524e-05	
dai62779	fro35904	160	6.31398583378e-05	
dai83733	gro46854	160	6.31398583378e-05	
dai85309	sna90094	160	6.31398583378e-05	
ele78169	sna45677	160	6.31398583378e-05	
dai83733	gro73461	158	6.23506101086e-05	
dai85309	gro94758	158	6.23506101086e-05	
ele74482	sna99873	158	6.23506101086e-05	
dai75645	sna45677	157	6.1955985994e-05	
ele91337	fro85978	157	6.1955985994e-05	
gro21487	gro38814	157	6.1955985994e-05	
gro30386	sna80324	157	6.1955985994e-05	
dai62779	sna96271	156	6.15613618794e-05	
ele17451	gro59710	156	6.15613618794e-05	
ele32164	ele74009	156	6.15613618794e-05	
fro16142	gro73461	156	6.15613618794e-05	
fro40251	gro21487	156	6.15613618794e-05	
dai75645	ele74009	155	6.11667377648e-05	
dai75645	gro30386	155	6.11667377648e-05	
dai62779	gro15017	154	6.07721136502e-05	
ele17451	gro46854	154	6.07721136502e-05	
fro31317	fro40251	154	6.07721136502e-05	
dai22896	gro38814	153	6.03774895356e-05	
dai62779	fro53271	153	6.03774895356e-05	
fro78087	gro73461	153	6.03774895356e-05	
gro21487	sna80324	153	6.03774895356e-05	
gro61133	gro81087	153	6.03774895356e-05	
dai35347	fro31317	152	5.99828654209e-05	
ele66810	fro41939	152	5.99828654209e-05	
ele74009	fro40251	152	5.99828654209e-05	
fro31317	sna99873	152	5.99828654209e-05	
dai22896	dai75645	151	5.95882413063e-05	
ele99737	sna45677	151	5.95882413063e-05	
fro19221	sna53220	151	5.95882413063e-05	
fro92469	gro73461	151	5.95882413063e-05	
dai42493	fro40251	150	5.91936171917e-05	
dai62779	ele62598	150	5.91936171917e-05	
dai63921	gro46854	150	5.91936171917e-05	
dai75645	ele26917	150	5.91936171917e-05	
dai75645	gro94758	150	5.91936171917e-05	
dai83733	dai85309	150	5.91936171917e-05	
dai88807	sna59903	150	5.91936171917e-05	
ele17451	gro81087	150	5.91936171917e-05	
ele34057	gro73461	150	5.91936171917e-05	
ele92920	gro15017	150	5.91936171917e-05	
sna80324	sna93860	150	5.91936171917e-05	
dai62779	dai95741	149	5.87989930771e-05	
dai75645	dai85309	149	5.87989930771e-05	
dai31081	ele32164	148	5.84043689625e-05	
dai75645	gro61133	148	5.84043689625e-05	
dai85309	ele32164	148	5.84043689625e-05	
ele32244	ele66600	148	5.84043689625e-05	
dai43223	ele17451	147	5.80097448479e-05	
dai62779	gro46854	147	5.80097448479e-05	
dai62779	sna72163	147	5.80097448479e-05	
ele17451	sna72163	147	5.80097448479e-05	
ele32164	gro81087	147	5.80097448479e-05	
fro31317	fro32293	147	5.80097448479e-05	
dai43868	sna82528	146	5.76151207333e-05	
dai62779	sna38068	146	5.76151207333e-05	
ele14480	ele17451	146	5.76151207333e-05	
ele26917	gro38983	146	5.76151207333e-05	
ele26917	sna80324	146	5.76151207333e-05	
fro40251	gro46854	146	5.76151207333e-05	
sna55762	sna80324	146	5.76151207333e-05	
dai22177	dai85309	145	5.72204966187e-05	
dai62779	ele66810	145	5.72204966187e-05	
dai62779	sna59903	144	5.68258725041e-05	
dai85309	dai95741	144	5.68258725041e-05	
fro79022	gro46854	144	5.68258725041e-05	
gro38814	sna80324	144	5.68258725041e-05	
sna59903	sna72163	144	5.68258725041e-05	
